producto,marca,precio_eur,precio_inr,cpu,ram_gb,almacenamiento_gb,gpu,tamanio_pantalla,sistema_operativo,warranty,spec_rating
Omen 16-wf0052TX Gaming Laptop,HP,1843.5,153625,TH GEN INTEL CORE I5 13500HX,16,512,NVIDIA GEFORCE RTX 4050,16.1,Windows 11 OS,1,75.0
Omen 16-u0023TX Gaming Laptop,HP,3241.55,270129,TH GEN INTEL CORE I9 13900HX,32,1024,NVIDIA GEFORCE RTX 4070,16.1,Windows 11 OS,1,86.0
Aorus 15 9SF Gaming Laptop,Gigabyte,1799.88,149990,TH GEN INTEL CORE I5 12500H,16,1024,NVIDIA GEFORCE RTX 4070,15.6,Windows 11  OS,2,83.0
IdeaPad Slim 5 82XE004RIN Laptop,Lenovo,707.88,58990,TH GEN AMD RYZEN 5 7530U,16,512,AMD INTEGRATED SOC,14.0,Windows 11 OS,1,64.0
Envy x360 13-bf0141tu Laptop,HP,1286.28,107190,TH GEN INTEL CORE I7 1250U,16,512,INTEL INTEGRATED IRIS XE,13.3,Windows 11 OS,1,67.0
CoreBook X Pro Laptop,Chuwi,395.99,32999,TH GEN INTEL CORE I5 10210U,16,512,INTEL UHD GRAPHICS,15.6,Windows 11 OS,1,69.32352941176471
Omen 16-wd0770TX Gaming Laptop,HP,1225.08,102090,TH GEN INTEL CORE I5 13420H,16,512,NVIDIA GEFORCE RTX 4050,16.1,Windows 11 OS,1,72.0
Dragonfly G4 Laptop,HP,2780.95,231746,TH GEN INTEL CORE I7 1365U,16,512,INTEL IRIS XE GRAPHICS,13.5,Windows 11 OS,1,71.0
Vivobook 16X 2023 K3605ZC-MBN741WS Laptop,Asus,983.88,81990,TH GEN INTEL CORE I7 12650H,16,512,NVIDIA GEFORCE RTX 3050,16.0,Windows 11 OS,1,72.0
Inspiron 3520 IN3520KTMFJ001ORS1 Laptop,Dell,442.68,36890,TH GEN INTEL CORE I3 1115G4,8,512,INTEL UHD GRAPHICS,15.6,Windows 11 OS,1,69.32352941176471
LOQ 15IRH8 82XV00F6IN 2023 Gaming Laptop,Lenovo,1055.88,87990,TH GEN INTEL CORE I5 12450H,16,512,NVIDIA GEFORCE RTX 4050,15.6,Windows 11 OS,1,71.0
Pavilion x360 14-ek1074TU Laptop,HP,935.88,77990,TH GEN INTEL CORE I5 1335U,16,512,INTEL INTEGRATED IRIS XE,14.0,Windows 11 OS,1,67.0
Aorus 15 9KF Gaming Laptop,Gigabyte,1410.89,117574,TH GEN INTEL CORE I5 12500H,8,512,NVIDIA GEFORCE RTX 4060,15.6,Windows 11 OS,2,80.0
